name,position,actual_eur,predicted_eur,abs_error_eur
Jon Ander Garrido,Missing,800000.0,890794.44,90794.4375
Keith Lasley,Midfield,700000.0,1.728624e+06,1028624.0
Nicolás Navarro,Goalkeeper,2000000.0,929636.4,1070363.625
Joran Triest,Attack,100000.0,70262.016,29737.984375
Eddy Israfilov,Midfield,700000.0,805790.9,105790.875
Adrián Martínez,Attack,3500000.0,1.3372592e+06,2162740.75
Claudio Terzi,Defender,1500000.0,3.0170698e+06,1517069.75
Amine Bassi,Midfield,2500000.0,1.1896438e+06,1310356.25
Marcos Paulo,Midfield,1200000.0,2.108559e+06,908559.0
James Ward-Prowse,Midfield,38000000.0,2.3360708e+07,14639292.0
Luís Manuel,Midfield,800000.0,1.3934714e+06,593471.375
Artem Bobukh,Defender,200000.0,186401.58,13598.421875
Genki Omae,Attack,1250000.0,927427.06,322572.9375
Mamadou N'Diaye,Defender,400000.0,674357.0,274357.0
John McGinn,Midfield,32000000.0,3.074974e+07,1250260.0
Shaocong Wu,Defender,500000.0,653727.6,153727.625
Mike Aidoo,Defender,500000.0,452011.6,47988.40625
Taylan Bulut,Defender,6000000.0,1.2403426e+06,4759657.375
Schürrle,Midfield,500000.0,265243.2,234756.8125
Augustas Dubickas,Midfield,175000.0,126468.2,48531.796875
Younes Delfi,Attack,800000.0,263309.34,536690.65625
Norbert Wojtuszek,Defender,2500000.0,860269.25,1639730.75
Almamy Touré,Defender,8000000.0,1.2727138e+07,4727138.0
Andy Musayev,Attack,200000.0,241050.77,41050.765625
Jose Cholevas,Defender,2750000.0,5.7352025e+06,2985202.5
Lucas Wilchez,Midfield,1000000.0,1.9251101e+06,925110.125
François Marquet,Midfield,750000.0,1.3377822e+06,587782.25
Mika Biereth,Attack,30000000.0,3.097732e+07,977320.0
Sergio Vittor,Defender,2300000.0,1.3836376e+06,916362.375
Lukas Baert,Defender,50000.0,212472.78,162472.78125
Pietro De Giorgio,Attack,400000.0,1.2514235e+06,851423.5
Nathaël Julan,Attack,2000000.0,543142.94,1456857.0625
Dusan Lagator,Defender,700000.0,471442.16,228557.84375
Hussein Carneil,Midfield,1000000.0,459517.4,540482.59375
Miki Bosch,Defender,100000.0,391443.4,291443.40625
Viktor Genev,Defender,400000.0,423655.56,23655.5625
Bogdan Sukhodub,Defender,200000.0,189240.95,10759.046875
Artur Ryabokobylenko,Midfield,500000.0,477003.47,22996.53125
Ángel López,Defender,6000000.0,2.0025789e+06,3997421.125
Bill Hamid,Goalkeeper,900000.0,405103.56,494896.4375
Shaun MacDonald,Midfield,500000.0,1.1567419e+06,656741.875
Aleksandr Zakarlyuka,Midfield,225000.0,180153.5,44846.5
Ahmed Ildız,Midfield,1100000.0,1.332493e+06,232493.0
Matte Smets,Defender,13000000.0,7.522393e+06,5477607.0
Diego Pineda,Attack,700000.0,169146.53,530853.46875
Gabriel Tamas,Defender,4000000.0,2.5460288e+06,1453971.25
Juan Calero,Attack,700000.0,375288.5,324711.5
Tobías Cervera,Attack,1800000.0,616610.9,1183389.125
Matija Mitrović,Midfield,2000000.0,1.175766e+06,824234.0
Egemen Korkmaz,Defender,7600000.0,3.2089385e+06,4391061.5
Stef Nijland,Midfield,1250000.0,1.5311472e+06,281147.25
Simon Banza,Attack,18000000.0,1.0286836e+07,7713164.0
Dani Parejo,Midfield,35000000.0,2.504303e+07,9956970.0
Djeremy Zandvliet,Attack,50000.0,121935.195,71935.1953125
Yvann Maçon,Defender,4500000.0,633626.6,3866373.375
Damián Pizarro,Attack,6500000.0,808380.1,5691619.875
Ivan Lozenkov,Defender,300000.0,800115.9,500115.875
Yayah Kallon,Attack,2000000.0,2.8008162e+06,800816.25
Exaucé Ngassaki,Attack,150000.0,254800.06,104800.0625
Patrick Brouwer,Midfield,500000.0,916034.06,416034.0625
Fernando Alloco,Defender,450000.0,1.4054e+06,955400.0
Vincent Janssen,Attack,14000000.0,1.4669733e+07,669733.0
Felipe Lopes,Defender,4500000.0,1.0616114e+06,3438388.625
Sergey Slepov,Defender,250000.0,274230.66,24230.65625
Maikel Kieftenbeld,Midfield,2000000.0,1.1746364e+06,825363.625
Dor Peretz,Midfield,1800000.0,2.5814042e+06,781404.25
Simon Bammens,Defender,500000.0,368618.47,131381.53125
Maksim Barsov,Attack,1000000.0,303652.62,696347.375
Stijn Bultman,Defender,650000.0,664034.4,14034.375
Dani Estrada,Defender,2500000.0,3.0665288e+06,566528.75
Alhaji Kamara,Attack,700000.0,4.6099425e+06,3909942.5
Rhys Norrington-Davies,Defender,3000000.0,2.2359842e+06,764015.75
Artem Serikov,Attack,150000.0,339559.0,189559.0
Johan Hove,Midfield,2300000.0,1.7219766e+06,578023.375
Amine Harit,Attack,30000000.0,1.342834e+07,16571660.0
Mykyta Khodakovskyi,Midfield,100000.0,58867.86,41132.140625
Pathé Ciss,Midfield,4000000.0,8.303217e+06,4303217.0
Juan Peñaloza,Midfield,250000.0,322198.2,72198.1875
Clint Essers,Defender,350000.0,552185.2,202185.1875
Naim Sharifi,Defender,250000.0,325609.66,75609.65625
Scott McGill,Midfield,100000.0,85017.25,14982.75
Ali Adnan,Defender,3800000.0,1.3081329e+06,2491867.125
Lorenzo Pirola,Defender,9000000.0,6.4606465e+06,2539353.5
Andrey Bondar,Goalkeeper,100000.0,86373.47,13626.53125
José Valencia,Attack,1500000.0,1.0426787e+06,457321.3125
Matías Vera,Midfield,1800000.0,868500.25,931499.75
Boris Garrós,Attack,400000.0,480726.78,80726.78125
Renta Higashi,Defender,50000.0,380746.47,330746.46875
Vitaliy Ponomar,Attack,800000.0,1.1364311e+06,336431.125
Elias Andersson,Defender,1000000.0,916612.56,83387.4375
Christian Rye,Midfield,150000.0,66535.5,83464.5
Chang-hoon Kim,Attack,75000.0,174372.94,99372.9375
Corentin Jean,Attack,4000000.0,5.172269e+06,1172269.0
Santiago López García,Midfield,1000000.0,1.3138791e+06,313879.125
Sören Berg,Attack,850000.0,1.2828655e+06,432865.5
Gustav Dahl,Midfield,100000.0,170779.25,70779.25
Ali Al-Hamadi,Attack,2500000.0,2.986274e+06,486274.0
Nikolaos Grammatikakis,Goalkeeper,250000.0,247952.78,2047.21875
Sinan Karadag,Defender,75000.0,62078.195,12921.8046875
Shane Blaney,Defender,300000.0,549932.75,249932.75
Armin Haider,Midfield,150000.0,237976.73,87976.734375
Maksym Mekhaniv,Goalkeeper,400000.0,317580.1,82419.90625
Radek Cerny,Goalkeeper,1500000.0,1.0452384e+06,454761.625
Rassoul Ndiaye,Midfield,7000000.0,6.976916e+06,23084.0
Alberto del Moral,Midfield,1000000.0,305229.75,694770.25
Lucas Bergström,Goalkeeper,1500000.0,1.9381562e+06,438156.25
Jean Calvé,Defender,2500000.0,410985.38,2089014.625
Juan Montoya,Goalkeeper,300000.0,108944.0,191056.0
Peter Whittingham,Midfield,2750000.0,4.6032735e+06,1853273.5
Martin Cranie,Defender,1000000.0,1.1677982e+06,167798.25
Ricardo Pepi,Attack,25000000.0,1.7109716e+07,7890284.0
Herbert Bockhorn,Defender,800000.0,952532.94,152532.9375
Erdal Rakip,Midfield,1500000.0,2.6850192e+06,1185019.25
Adam Nygaard,Defender,300000.0,424067.47,124067.46875
Remie Streete,Defender,100000.0,433872.72,333872.71875
Telasco Segovia,Midfield,4500000.0,7.8282975e+06,3328297.5
Rúben,Defender,3500000.0,1.7137132e+06,1786286.75
Luiz Phellype,Attack,8000000.0,6.172975e+06,1827025.0
Adrián Palacios,Defender,1000000.0,1.1527476e+06,152747.625
Heriberto Jurado,Attack,2000000.0,718752.94,1281247.0625
Said Aliev,Attack,450000.0,296051.88,153948.125
Lucas Scicluna,Midfield,50000.0,307083.2,257083.1875
George Johnston,Defender,800000.0,281822.16,518177.84375
Jamie Cobain,Defender,50000.0,97035.41,47035.40625
